Security Code,Security Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
532875,ADSL,11 Nov 2009,Stock  Split From Rs.10/- to Rs.5/-,12 Nov 2009,-,-,05 Nov 2009,11 Nov 2009,-
515145,HINDNATGLS,12 Nov 2009,Stock  Split From Rs.10/- to Rs.2/-,13 Nov 2009,-,-,06 Nov 2009,12 Nov 2009,-
532749,ALLCARGO,19 Nov 2009,Stock  Split From Rs.10/- to Rs.2/-,20 Nov 2009,-,-,13 Nov 2009,19 Nov 2009,-
531863,GKFIN,19 Nov 2009,Stock  Split From Rs.10/- to Rs.1/-,20 Nov 2009,-,-,13 Nov 2009,19 Nov 2009,-
517271,HBLPOWER,24 Nov 2009,Stock  Split From Rs.10/- to Rs.1/-,25 Nov 2009,-,-,18 Nov 2009,24 Nov 2009,-
517393,VINTRON,27 Nov 2009,Stock  Split From Rs.10/- to Rs.1/-,30 Nov 2009,-,-,23 Nov 2009,27 Nov 2009,-
523576,FLAWLESD,03 Dec 2009,Stock  Split From Rs.10/- to Rs.1/-,04 Dec 2009,-,-,27 Nov 2009,03 Dec 2009,-
517565,ASHCONIUL,08 Dec 2009,Stock  Split From Rs.10/- to Rs.1/-,-,10 Dec 2009,10 Dec 2009,03 Dec 2009,09 Dec 2009,-
511200,MUNCAPM,09 Dec 2009,Stock  Split From Rs.10/- to Rs.5/-,10 Dec 2009,-,-,03 Dec 2009,09 Dec 2009,-
509709,INTLCONV,10 Dec 2009,Stock  Split From Rs.10/- to Rs.1/-,11 Dec 2009,-,-,07 Dec 2009,10 Dec 2009,-
500378,JINDALSAW,10 Dec 2009,Stock  Split From Rs.10/- to Rs.2/-,11 Dec 2009,-,-,04 Dec 2009,10 Dec 2009,-
531882,KWALITY,10 Dec 2009,Stock  Split From Rs.10/- to Rs.1/-,11 Dec 2009,-,-,04 Dec 2009,10 Dec 2009,-
531739,GENNEX,14 Dec 2009,Stock  Split From Rs.10/- to Rs.1/-,15 Dec 2009,-,-,08 Dec 2009,14 Dec 2009,-
500380,JKLAKSHMI,17 Dec 2009,Stock  Split From Rs.10/- to Rs.5/-,18 Dec 2009,-,-,11 Dec 2009,17 Dec 2009,-
506184,KANANIIND,22 Dec 2009,Stock  Split From Rs.10/- to Rs.5/-,23 Dec 2009,-,-,16 Dec 2009,22 Dec 2009,-
533015,NUTEK,23 Dec 2009,Stock  Split From Rs.10/- to Rs.5/-,24 Dec 2009,-,-,17 Dec 2009,23 Dec 2009,-
532778,LITL,04 Jan 2010,Stock  Split From Rs.10/- to Rs.1/-,05 Jan 2010,-,-,24 Dec 2009,04 Jan 2010,-
531515,MAHANIN,15 Jan 2010,Stock  Split From Rs.10/- to Rs.1/-,18 Jan 2010,-,-,11 Jan 2010,15 Jan 2010,-
506146,VIVIDHA,21 Jan 2010,Stock  Split From Rs.10/- to Rs.1/-,22 Jan 2010,-,-,15 Jan 2010,21 Jan 2010,-
514348,WINSOME,21 Jan 2010,Stock  Split From Rs.10/- to Rs.1/-,22 Jan 2010,-,-,15 Jan 2010,21 Jan 2010,-
521030,NAKODA,22 Jan 2010,Stock  Split From Rs.10/- to Rs.5/-,25 Jan 2010,-,-,18 Jan 2010,22 Jan 2010,-
590094,FARMAXIND,27 Jan 2010,Stock  Split From Rs.10/- to Rs.5/-,28 Jan 2010,-,-,20 Jan 2010,27 Jan 2010,-
500031,BAJAJELEC,28 Jan 2010,Stock  Split From Rs.10/- to Rs.2/-,29 Jan 2010,-,-,21 Jan 2010,28 Jan 2010,-
532902,CCCL,10 Feb 2010,Stock  Split From Rs.10/- to Rs.2/-,11 Feb 2010,-,-,04 Feb 2010,10 Feb 2010,-
530813,KRBL,10 Feb 2010,Stock  Split From Rs.10/- to Rs.1/-,12 Feb 2010,-,-,05 Feb 2010,10 Feb 2010,-
502015,ASSOSTN-B,18 Feb 2010,Stock  Split From Rs.10/- to Rs.5/-,19 Feb 2010,-,-,11 Feb 2010,18 Feb 2010,-
532975,AISHWARYA,24 Feb 2010,Stock  Split From Rs.10/- to Rs.5/-,25 Feb 2010,-,-,18 Feb 2010,24 Feb 2010,-
515147,HALDYNGL,25 Feb 2010,Stock  Split From Rs.10/- to Rs.1/-,26 Feb 2010,-,-,19 Feb 2010,25 Feb 2010,-
524687,BASANTGL,26 Feb 2010,Stock  Split From Rs.10/- to Rs.1/-,02 Mar 2010,-,-,22 Feb 2010,26 Feb 2010,-
524378,UMPEI,26 Feb 2010,Stock  Split From Rs.10/- to Rs.1/-,02 Mar 2010,-,-,22 Feb 2010,26 Feb 2010,-
532374,STRTECH,09 Mar 2010,Stock  Split From Rs.5/- to Rs.2/-,10 Mar 2010,-,-,03 Mar 2010,09 Mar 2010,-
532320,VAARAD,09 Mar 2010,Stock  Split From Rs.10/- to Rs.2/-,10 Mar 2010,-,-,03 Mar 2010,09 Mar 2010,-
500204,INDSEC,11 Mar 2010,Stock  Split From Rs.10/- to Rs.1/-,13 Mar 2010,-,-,08 Mar 2010,11 Mar 2010,-
531249,WLPACKP,15 Mar 2010,Stock  Split From Rs.10/- to Rs.1/-,17 Mar 2010,-,-,10 Mar 2010,16 Mar 2010,-
519323,MURLIIND,18 Mar 2010,Stock  Split From Rs.10/- to Rs.2/-,19 Mar 2010,-,-,12 Mar 2010,18 Mar 2010,-
532509,SUPRAJIT,18 Mar 2010,Stock  Split From Rs.5/- to Rs.1/-,20 Mar 2010,-,-,12 Mar 2010,18 Mar 2010,-
524494,IPCALAB,22 Mar 2010,Stock  Split From Rs.10/- to Rs.2/-,23 Mar 2010,-,-,15 Mar 2010,22 Mar 2010,-
532673,KMSUGAR,26 Mar 2010,Stock  Split From Rs.10/- to Rs.2/-,29 Mar 2010,-,-,19 Mar 2010,26 Mar 2010,-
500520,M&M,29 Mar 2010,Stock  Split From Rs.10/- to Rs.5/-,30 Mar 2010,-,-,22 Mar 2010,29 Mar 2010,-
507998,SIMMOND,29 Mar 2010,Stock  Split From Rs.10/- to Rs.2/-,30 Mar 2010,-,-,22 Mar 2010,29 Mar 2010,-
532900,SEINV,05 Apr 2010,Stock  Split From Rs.10/- to Rs.2/-,06 Apr 2010,-,-,26 Mar 2010,05 Apr 2010,-
532746,UNITY,07 Apr 2010,Stock  Split From Rs.10/- to Rs.2/-,08 Apr 2010,-,-,30 Mar 2010,07 Apr 2010,-
521228,TATILAGLOB,22 Apr 2010,Stock  Split From Rs.10/- to Rs.1/-,23 Apr 2010,-,-,16 Apr 2010,22 Apr 2010,-
531213,MANAPPURAM,03 May 2010,Stock  Split From Rs.10/- to Rs.2/-,04 May 2010,-,-,27 Apr 2010,03 May 2010,-
511726,VIPUL,04 May 2010,Stock  Split From Rs.2/- to Rs.1/-,05 May 2010,-,-,28 Apr 2010,04 May 2010,-
532178,ENGINERSIN,06 May 2010,Stock  Split From Rs.10/- to Rs.5/-,07 May 2010,-,-,30 Apr 2010,06 May 2010,-
524109,KABRAEXTRU,17 May 2010,Stock  Split From Rs.10/- to Rs.5/-,18 May 2010,-,-,11 May 2010,17 May 2010,-
524370,BODALCHEM,10 Jun 2010,Stock  Split From Rs.10/- to Rs.2/-,11 Jun 2010,-,-,04 Jun 2010,10 Jun 2010,-
